"year","avg_data_value"
"2005",32.6048478015784
"2008",20.277304964539
"2009",26.0500746268657
"2010",20.4619351570415
"2011",15.5295920066611
"2012",25.5409543285617
"2013",19.156976127321
"2014",16.0896629213483
"2015",21.1398468040148
"2016",18.6135087719298
"2017",16.3339513677812
"2018",15.5611854103343
"2019",15.694336372847
"2020",14.4152583586626
"2021",14.9506808510638
